plot,ranch,habitat,bdffp_no,year,old_tag_no,new_tag_number,notes
CF-5,porto alegre,forest,NA,2007,75,305,
CF-6,porto alegre,forest,3402,2006,116,62,
CF-6,porto alegre,forest,3402,2007,173,87,
CF-6,porto alegre,forest,3402,2001,252,292,
CF-6,porto alegre,forest,3402,2002,341,267,"not sure which is original, but think it is like this"
CF-6,porto alegre,forest,3402,2004,371,21,
CF-6,porto alegre,forest,3402,2007,5,2102,
FF-1,dimona,one,2107,2002,229,269,
FF-1,dimona,one,2107,2000,23,165,
FF-1,dimona,one,2107,2006,287,326,
FF-1,dimona,one,2107,2008,40,365,
FF-1,dimona,one,2107,2000,67,245,
FF-2,dimona,one,2108,2006,116,789,
FF-2,dimona,one,2108,2000,123,NA,
FF-2,dimona,one,2108,2007,184,331,
FF-2,dimona,one,2108,2006,217,278,
FF-2,dimona,one,2108,2005,227,240,
FF-2,dimona,one,2108,2006,262,229,
FF-2,dimona,one,2108,2006,29,291,
FF-2,dimona,one,2108,2000,41,NA,
FF-2,dimona,one,2108,2006,622,804,
FF-2,dimona,one,2108,2000,64,NA,
FF-2,dimona,one,2108,2006,C9 #69,NA,needs new number
FF-3,esteio,one,1104,1999, U7,154,
FF-3,esteio,one,1104,1999, U9,137,
FF-3,esteio,one,1104,2000,100,277,
FF-3,esteio,one,1104,2002,179,246,
FF-3,esteio,one,1104,2006,305,403,
FF-3,esteio,one,1104,2009,366,371,
FF-3,esteio,one,1104,2009,74,412,
FF-3,esteio,one,1104,2006,98,405,
FF-4,porto alegre,one,3114,2004,21,371,
FF-4,porto alegre,one,3114,2002,43,400,
FF-5,dimona,ten,2206,2006,104,331,
FF-5,dimona,ten,2206,2006,108,341,
FF-5,dimona,ten,2206,2003,19,193,
FF-5,dimona,ten,2206,2006,208,242,
FF-5,dimona,ten,2206,2006,269,322,
FF-5,dimona,ten,2206,2002,45,25,
FF-5,dimona,ten,2206,2006,53,320,
FF-5,dimona,ten,2206,2002,76,186,
FF-6,esteio,ten,1202,2000,186,280,
FF-6,esteio,ten,1202,2001,196,552,
