HA_ID_Number,plot,habitat,ranch,bdffp_no,yr_isolated
6539,CF-1,forest,EST,1301,NA
6540,CF-1,forest,EST,1301,NA
6549,CF-1,forest,EST,1301,NA
6559,CF-1,forest,EST,1301,NA
6564,CF-1,forest,EST,1301,NA
6579,CF-1,forest,EST,1301,NA
6584,CF-1,forest,EST,1301,NA
6585,CF-1,forest,EST,1301,NA
6586,CF-1,forest,EST,1301,NA
6587,CF-1,forest,EST,1301,NA
6590,CF-1,forest,EST,1301,NA
6592,CF-1,forest,EST,1301,NA
6650,CF-1,forest,EST,1301,NA
6681,CF-1,forest,EST,1301,NA
6708,CF-1,forest,EST,1301,NA
6710,CF-1,forest,EST,1301,NA
6716,CF-1,forest,EST,1301,NA
6717,CF-1,forest,EST,1301,NA
6723,CF-1,forest,EST,1301,NA
6731,CF-1,forest,EST,1301,NA
6745,CF-1,forest,EST,1301,NA
6750,CF-1,forest,EST,1301,NA
6755,CF-1,forest,EST,1301,NA
6877,CF-1,forest,EST,1301,NA
6904,CF-1,forest,EST,1301,NA
6916,CF-1,forest,EST,1301,NA
6924,CF-1,forest,EST,1301,NA
6934,CF-1,forest,EST,1301,NA
6940,CF-1,forest,EST,1301,NA
6976,CF-1,forest,EST,1301,NA
7028,CF-1,forest,EST,1301,NA
7029,CF-1,forest,EST,1301,NA
7071,CF-1,forest,EST,1301,NA
7108,CF-1,forest,EST,1301,NA
7111,CF-1,forest,EST,1301,NA
7112,CF-1,forest,EST,1301,NA
7113,CF-1,forest,EST,1301,NA
7114,CF-1,forest,EST,1301,NA
7155,CF-1,forest,EST,1301,NA
7156,CF-1,forest,EST,1301,NA
7157,CF-1,forest,EST,1301,NA
7192,CF-1,forest,EST,1301,NA
7193,CF-1,forest,EST,1301,NA
7221,CF-1,forest,EST,1301,NA
7253,CF-1,forest,EST,1301,NA
7254,CF-1,forest,EST,1301,NA
7256,CF-1,forest,EST,1301,NA
7267,CF-1,forest,EST,1301,NA
7340,CF-1,forest,EST,1301,NA
5823,CF-1,forest,EST,1301,NA
5824,CF-1,forest,EST,1301,NA
5845,CF-1,forest,EST,1301,NA
5863,CF-1,forest,EST,1301,NA
5868,CF-1,forest,EST,1301,NA
5885,CF-1,forest,EST,1301,NA
5891,CF-1,forest,EST,1301,NA
5897,CF-1,forest,EST,1301,NA
5903,CF-1,forest,EST,1301,NA
5905,CF-1,forest,EST,1301,NA
5914,CF-1,forest,EST,1301,NA
5967,CF-1,forest,EST,1301,NA
5970,CF-1,forest,EST,1301,NA
6504,CF-1,forest,EST,1301,NA
6511,CF-1,forest,EST,1301,NA
6517,CF-1,forest,EST,1301,NA
6518,CF-1,forest,EST,1301,NA
6541,CF-1,forest,EST,1301,NA
6551,CF-1,forest,EST,1301,NA
6582,CF-1,forest,EST,1301,NA
6596,CF-1,forest,EST,1301,NA
6648,CF-1,forest,EST,1301,NA
6655,CF-1,forest,EST,1301,NA
6657,CF-1,forest,EST,1301,NA
6664,CF-1,forest,EST,1301,NA
6673,CF-1,forest,EST,1301,NA
6690,CF-1,forest,EST,1301,NA
6692,CF-1,forest,EST,1301,NA
6698,CF-1,forest,EST,1301,NA
6712,CF-1,forest,EST,1301,NA
6713,CF-1,forest,EST,1301,NA
6715,CF-1,forest,EST,1301,NA
6718,CF-1,forest,EST,1301,NA
6725,CF-1,forest,EST,1301,NA
6728,CF-1,forest,EST,1301,NA
6729,CF-1,forest,EST,1301,NA
6735,CF-1,forest,EST,1301,NA
6743,CF-1,forest,EST,1301,NA
6744,CF-1,forest,EST,1301,NA
6749,CF-1,forest,EST,1301,NA
6752,CF-1,forest,EST,1301,NA
6758,CF-1,forest,EST,1301,NA
6761,CF-1,forest,EST,1301,NA
6763,CF-1,forest,EST,1301,NA
6765,CF-1,forest,EST,1301,NA
6768,CF-1,forest,EST,1301,NA
6769,CF-1,forest,EST,1301,NA
6778,CF-1,forest,EST,1301,NA
6875,CF-1,forest,EST,1301,NA
6956,CF-1,forest,EST,1301,NA
6964,CF-1,forest,EST,1301,NA
6977,CF-1,forest,EST,1301,NA
6978,CF-1,forest,EST,1301,NA
7030,CF-1,forest,EST,1301,NA
7115,CF-1,forest,EST,1301,NA
7116,CF-1,forest,EST,1301,NA
7158,CF-1,forest,EST,1301,NA
7220,CF-1,forest,EST,1301,NA
7251,CF-1,forest,EST,1301,NA
7252,CF-1,forest,EST,1301,NA
7255,CF-1,forest,EST,1301,NA
7274,CF-1,forest,EST,1301,NA
7277,CF-1,forest,EST,1301,NA
7286,CF-1,forest,EST,1301,NA
7322,CF-1,forest,EST,1301,NA
7341,CF-1,forest,EST,1301,NA
7346,CF-1,forest,EST,1301,NA
5827,CF-1,forest,EST,1301,NA
5833,CF-1,forest,EST,1301,NA
5835,CF-1,forest,EST,1301,NA
5849,CF-1,forest,EST,1301,NA
5870,CF-1,forest,EST,1301,NA
5888,CF-1,forest,EST,1301,NA
5940,CF-1,forest,EST,1301,NA
5969,CF-1,forest,EST,1301,NA
5971,CF-1,forest,EST,1301,NA
5975,CF-1,forest,EST,1301,NA
5980,CF-1,forest,EST,1301,NA
6401,CF-1,forest,EST,1301,NA
6428,CF-1,forest,EST,1301,NA
6430,CF-1,forest,EST,1301,NA
6441,CF-1,forest,EST,1301,NA
6491,CF-1,forest,EST,1301,NA
6562,CF-1,forest,EST,1301,NA
6637,CF-1,forest,EST,1301,NA
6678,CF-1,forest,EST,1301,NA
6709,CF-1,forest,EST,1301,NA
6714,CF-1,forest,EST,1301,NA
6721,CF-1,forest,EST,1301,NA
6727,CF-1,forest,EST,1301,NA
6732,CF-1,forest,EST,1301,NA
6737,CF-1,forest,EST,1301,NA
6738,CF-1,forest,EST,1301,NA
6756,CF-1,forest,EST,1301,NA
6757,CF-1,forest,EST,1301,NA
6759,CF-1,forest,EST,1301,NA
6760,CF-1,forest,EST,1301,NA
6762,CF-1,forest,EST,1301,NA
6767,CF-1,forest,EST,1301,NA
6771,CF-1,forest,EST,1301,NA
6929,CF-1,forest,EST,1301,NA
6933,CF-1,forest,EST,1301,NA
6947,CF-1,forest,EST,1301,NA
6962,CF-1,forest,EST,1301,NA
6963,CF-1,forest,EST,1301,NA
7050,CF-1,forest,EST,1301,NA
7126,CF-1,forest,EST,1301,NA
7238,CF-1,forest,EST,1301,NA
7250,CF-1,forest,EST,1301,NA
7287,CF-1,forest,EST,1301,NA
7289,CF-1,forest,EST,1301,NA
7291,CF-1,forest,EST,1301,NA
7292,CF-1,forest,EST,1301,NA
7306,CF-1,forest,EST,1301,NA
7307,CF-1,forest,EST,1301,NA
7308,CF-1,forest,EST,1301,NA
7309,CF-1,forest,EST,1301,NA
7310,CF-1,forest,EST,1301,NA
7311,CF-1,forest,EST,1301,NA
7347,CF-1,forest,EST,1301,NA
7348,CF-1,forest,EST,1301,NA
7352,CF-1,forest,EST,1301,NA
5803,CF-1,forest,EST,1301,NA
5844,CF-1,forest,EST,1301,NA
5859,CF-1,forest,EST,1301,NA
5882,CF-1,forest,EST,1301,NA
5900,CF-1,forest,EST,1301,NA
5925,CF-1,forest,EST,1301,NA
5941,CF-1,forest,EST,1301,NA
5956,CF-1,forest,EST,1301,NA
5976,CF-1,forest,EST,1301,NA
6409,CF-1,forest,EST,1301,NA
6411,CF-1,forest,EST,1301,NA
6431,CF-1,forest,EST,1301,NA
7035,CF-1,forest,EST,1301,NA
7036,CF-1,forest,EST,1301,NA
7037,CF-1,forest,EST,1301,NA
