habitat,ranch,plot_id,plot,year,old_tag_no,new_tag_number,notes
CF,EST,CF-3,5756,2006,1272,1656,NA
CF,EST,CF-3,5756,2007,286,1687,NA
CF,PAL,CF-6,CaboFrio-CF,2001,252,292,NA
CF,PAL,CF-6,CaboFrio-CF,2002,341,267,"not sure which is original, but think it is like this"
CF,PAL,CF-6,CaboFrio-CF,2004,371,21,NA
CF,PAL,CF-6,CaboFrio-CF,2006,116,62,NA
CF,PAL,CF-6,CaboFrio-CF,2007,5,2102,NA
CF,PAL,CF-6,CaboFrio-CF,2007,173,87,NA
1-ha,EST,FF-3,5751,1999,U7,154,NA
1-ha,EST,FF-3,5751,1999,U9,137,NA
1-ha,EST,FF-3,5751,2000,100,277,NA
1-ha,EST,FF-3,5751,2002,179,246,NA
10-ha,EST,FF-6,5752,2000,214=305,214,NA
10-ha,EST,FF-6,5752,2000,186,280,NA
10-ha,EST,FF-6,5752,2001,196,552,NA
10-ha,EST,FF-6,5752,2001,251,556,NA
10-ha,EST,FF-6,5752,2001,308,585,NA
CF,DIM,CF-4,Dimona-CF,2001,77,108,NA
CF,DIM,CF-4,Dimona-CF,2001,142,122,NA
CF,DIM,CF-4,Dimona-CF,2001,15,106,NA
CF,DIM,CF-4,Dimona-CF,2001,12,167,NA
CF,DIM,CF-4,Dimona-CF,2006,176,184,NA
CF,DIM,CF-4,Dimona-CF,2006,176,184,NA
CF,EST,CF-1,Florestal-CF,2000,480,904,NA
CF,EST,CF-1,Florestal-CF,2000,435,930,NA
CF,EST,CF-1,Florestal-CF,2001,19,1036,NA
CF,EST,CF-1,Florestal-CF,2001,277,1004,NA
CF,EST,CF-1,Florestal-CF,2001,608,1077,NA
CF,EST,CF-1,Florestal-CF,2002,424,1118,NA
CF,EST,CF-1,Florestal-CF,2002,920,1442,NA
CF,EST,CF-1,Florestal-CF,2006,257,1273,NA
CF,EST,CF-1,Florestal-CF,2006,1027,1257,NA
CF,EST,CF-1,Florestal-CF,2006,257,1273,NA
CF,EST,CF-1,Florestal-CF,2006,1027,1257,NA
CF,EST,CF-1,Florestal-CF,2007,48,1294,NA
CF,EST,CF-1,Florestal-CF,2007,159,1581,NA
CF,EST,CF-1,Florestal-CF,2007,121,1570,NA
CF,PAL,CF-5,PortoAlegre-CF,2001,103,295,NA
CF,PAL,CF-5,PortoAlegre-CF,2001,122,263,NA
CF,PAL,CF-5,PortoAlegre-CF,2001,11,287,NA
CF,PAL,CF-5,PortoAlegre-CF,2004,43,224,NA
CF,PAL,CF-5,PortoAlegre-CF,2006,204,42,NA
CF,PAL,CF-5,PortoAlegre-CF,2006,116,62,NA
1-ha,PAL,FF-4,5753,2002,43,400,NA
1-ha,PAL,FF-4,5753,2004,21,371,NA
10-ha,PortoAlegre,FF-7,5754,2000,548,611,NA
10-ha,PortoAlegre,FF-7,5754,2000,170,625,NA
10-ha,PortoAlegre,FF-7,5754,2000,572,909,NA
10-ha,PortoAlegre,FF-7,5754,2001,316,1383,NA
10-ha,PortoAlegre,FF-7,5754,2001,608,1389,NA
10-ha,PortoAlegre,FF-7,5754,2001,323,1390,NA
10-ha,PortoAlegre,FF-7,5754,2001,300,1391,NA
10-ha,PortoAlegre,FF-7,5754,2001,632,1396,NA
10-ha,PortoAlegre,FF-7,5754,2001,297,1398,NA
10-ha,PortoAlegre,FF-7,5754,2002,501,632,NA
10-ha,PortoAlegre,FF-7,5754,2002,57,928,NA
10-ha,PortoAlegre,FF-7,5754,2002,120,984,NA
10-ha,PortoAlegre,FF-7,5754,2002,23,993,NA
10-ha,PortoAlegre,FF-7,5754,2002,27,1305,NA
10-ha,PortoAlegre,FF-7,5754,2002,26,1309,NA
10-ha,PortoAlegre,FF-7,5754,2002,22,1354,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC,24,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 71,817,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC,10,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC,61,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 10,801,NA
10-ha,PortoAlegre,FF-7,5754,2003,321,806,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 73,831,NA
10-ha,PortoAlegre,FF-7,5754,2003,PVC 61,832,NA
10-ha,PortoAlegre,FF-7,5754,2003,5,847,NA
10-ha,PortoAlegre,FF-7,5754,2004,PVC 40,705,NA
10-ha,PortoAlegre,FF-7,5754,2004,PVC,746,NA
CF,PAL,CF-5,PortoAlegre-CF,2007,75,305,NA
1-ha,DIM,FF-1,2107,2008,40,365,NA
1-ha,PAL,FF-4,5753,2009,366,371,NA
1-ha,PAL,FF-4,5753,2009,74,412,NA
CF,EST,CF-1,Florestal-CF,2009,174,1912,NA
