"plotID","plot","habitat","plant_id","tag_number","year","row","column","shts","ht","code","ranch","bdffp_reserve_no","x_09","y_09","infl","notes","new_tag","new_row","new_col"
"CF-1","Florestal-CF","CF","7615","1267","1998","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","1999","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2000","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2001","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2002","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2003","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2004","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2005","C","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2006","C","4","1","13","sdlg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2007","C","4","1","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2008","C","4","1","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7615","1267","2009","C","4","3","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","1998","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","1999","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2000","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2001","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2002","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2003","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2004","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2005","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2006","D","7","1","10","sdlg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2007","D","7","1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2008","D","7","1","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-1","Florestal-CF","CF","7996","1267","2009","D","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","",""
"CF-2","5750","CF","1622","1401","1998","G","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-2","5750","CF","1622","1401","1999","G","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-2","5750","CF","1622","1401","2000","G","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-2","5750","CF","1622","1401","2001","G","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-2","5750","CF","1622","1401","2002","G","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-2","5750","CF","1622","1401","2003","G","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CF-2","5750","CF","1622","1401","2004","G","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
