plot,year,old_tag_no,new_tag_number,notes
Dim-CF,2006,176,184,NA
Florestal,2000,480,904,NA
Florestal,2000,435,930,NA
Florestal,2001,19,1036,NA
Florestal,2001,277,1004,NA
Florestal,2001,608,1077,NA
Florestal,2002,424,1118,NA
Florestal,2002,920,1442,NA
Florestal,2006,257,1273,NA
Florestal,2006,1027,1257,NA
Florestal,2006,257,1273,NA
Florestal,2006,1027,1257,NA
Florestal,2007,48,1294,NA
Florestal,2007,159,1581,NA
Florestal,2007,121,1570,NA
PA CF,2001,103,295,NA
PA CF,2001,122,263,NA
PA CF,2001,11,287,NA
PA CF,2004,43,224,NA
PA CF,2006,204,42,NA
PA CF,2006,116,62,NA
PA1,2002,43,400,NA
PA1,2004,21,371,NA
PA-10,2000,548,611,NA
PA-10,2000,170,625,NA
PA-10,2000,572,909,NA
PA-10,2001,316,1383,NA
PA-10,2001,608,1389,NA
PA-10,2001,323,1390,NA
PA-10,2001,300,1391,NA
PA-10,2001,632,1396,NA
PA-10,2001,297,1398,NA
PA-10,2002,501,632,NA
PA-10,2002,57,928,NA
PA-10,2002,120,984,NA
PA-10,2002,23,993,NA
PA-10,2002,27,1305,NA
PA-10,2002,26,1309,NA
PA-10,2002,22,1354,NA
PA-10,2003,PVC,24,NA
PA-10,2003,PVC 71,817,NA
PA-10,2003,PVC,10,NA
PA-10,2003,PVC,61,NA
PA-10,2003,PVC 10,801,NA
PA-10,2003,321,806,NA
PA-10,2003,PVC 73,831,NA
PA-10,2003,PVC 61,832,NA
PA-10,2003,5,847,NA
PA-10,2004,PVC 40,705,NA
PA-10,2004,PVC,746,NA
PA-CF,2007,75,305,NA
2107,2008,40,365,NA
5753,2009,366,371,NA
5753,2009,74,412,NA
Florestal,2009,174,1912,NA
