plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status
141,2107,1-ha,DIM,2107,165,B,6,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
71,2107,1-ha,DIM,2107,215,A,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
21,2107,1-ha,DIM,2107,218,A,10,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
190,2107,1-ha,DIM,2107,220,C,2,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
174,2107,1-ha,DIM,2107,246,C,10,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
126,2107,1-ha,DIM,2107,280,B,4,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
321,2107,1-ha,DIM,2107,303,E,4,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
325,2107,1-ha,DIM,2107,375,E,5,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
302,2107,1-ha,DIM,2107,387,D,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
303,2107,1-ha,DIM,2107,391,D,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
421,2108,1-ha,DIM,2108,209,B,2,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
626,2108,1-ha,DIM,2108,215,E,7,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
527,2108,1-ha,DIM,2108,231,D,1,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
543,2108,1-ha,DIM,2108,299,D,2,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
520,2108,1-ha,DIM,2108,64,D,1,FF-2,2001,ULY,NA,TRUE,FALSE,NA,NA,measured
500,2108,1-ha,DIM,2108,241,C,8,FF-2,2001,ULY,NA,TRUE,FALSE,NA,NA,measured
398,2108,1-ha,DIM,2108,235,A,9,FF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
381,2108,1-ha,DIM,2108,400,A,6,FF-2,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
601,2108,1-ha,DIM,2108,294,D,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured
603,2108,1-ha,DIM,2108,301,D,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured
595,2108,1-ha,DIM,2108,392,D,8,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured
518,2108,1-ha,DIM,2108,393,C,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured
478,2108,1-ha,DIM,2108,4,C,4,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
444,2108,1-ha,DIM,2108,16,B,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
490,2108,1-ha,DIM,2108,57,C,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
393,2108,1-ha,DIM,2108,59,A,9,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
451,2108,1-ha,DIM,2108,70,B,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
637,2108,1-ha,DIM,2108,86,E,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
394,2108,1-ha,DIM,2108,91,A,9,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
605,2108,1-ha,DIM,2108,139,E,1,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
366,2108,1-ha,DIM,2108,141,A,4,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
399,2108,1-ha,DIM,2108,246,A,9,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
613,2108,1-ha,DIM,2108,256,E,10,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
445,2108,1-ha,DIM,2108,276,B,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
505,2108,1-ha,DIM,2108,309,C,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
622,2108,1-ha,DIM,2108,323,E,3,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
350,2108,1-ha,DIM,2108,350,A,10,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
593,2108,1-ha,DIM,2108,359,D,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
462,2108,1-ha,DIM,2108,396,B,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
915,2206,10-ha,DIM,2206,124,E,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
659,2206,10-ha,DIM,2206,143,A,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
755,2206,10-ha,DIM,2206,168,B,5,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
878,2206,10-ha,DIM,2206,192,D,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
881,2206,10-ha,DIM,2206,204,D,3,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
