plot,year,row,column,disturbance,perc_covered,notes
2107,2006,D,10,tree,100,can't even walk into the plot
2107,2006,B,6,tree,100,can't even walk into the plot
2107,2006,B,8,branch,,
2108,2006,C,8,tree,100,
2206,2006,A,9,tree,100,can't even walk into the plot
2206,2006,A,10,tree,100,can't even walk into the plot
2206,2006,E,9,tree,100,can't even walk into the plot
5751,2006,D,5,tree,100,
5751,2006,D,6,tree,100,
5751,2006,C,5,tree,100,
5751,2006,D,8,tree,100,
5751,2006,D,9,tree,25,
5752,2006,D,1,tree,,
5752,2006,A,4,tree,25,
5752,2006,E,1,tree,100,
5752,2006,A,8,crown,,
5752,2006,B,8,tree_and_branches,,
5752,2006,B,4,tree,,
5753,2006,D,10,leaves,,ground covered by cecropia leaves
5753,2006,D,3,tree,,
5753,2006,E,5,tree,,
5754,2006,C,7,tree,50,
5754,2006,A,1,tree,,
5754,2006,B,6,tree,100,
5754,2006,B,7,tree,100,can't even walk into the plot
5754,2006,A,8,branch,,
5754,2006,D,7,tree,,
5750,2006,I,10,tree,50,
5750,2006,H,6,tree,,
5750,2006,I,6,tree,50,
5750,2006,J,9,tree,,
5750,2006,G,9,tree,,
5750,2006,D,9,branch,,
5756,2006,E,2,tree,,
5756,2006,D,9,tree,,
cf cf,2006,B,7,tree_and_branches,,
cf cf,2006,A,7,tree_and_branches,,
dim cf,2006,A,1,tree,,
florestal,2006,A,8,tree,,
florestal,2006,B,9,tree,,
PA CF,2006,C,8,tree,,
PA CF,2006,C,10,tree,,
2108,2007,C,1,tree,25,
2108,2007,E,10,leaves,,
2108,2007,D,2,branch,20,
2108,2007,C,4,branch,25,
2107,2007,A,7&8,leaves,,
5751,2007,E,8,branch,40,
5751,2007,E,9,tree,,
5751,2007,C,9,tree,,
5751,2007,B,7,branch,10,
5753,2007,B,5,branch,20,
5753,2007,C,1,branch,15,
5753,2007,C,4,branch,70,
5753,2007,C,7,branch,25,
5750,2007,J,8,gap,,
5750,2007,I,10,branch,10,
5750,2007,D,9,branch,10,fallen branches are on the border with E9
5750,2007,F,9,branch,10,
5750,2007,G,9,branch,10,fallen branches are on the border with F9
5750,2007,J,9,gap,,
5756,2007,E,5,branch,40,
5756,2007,A,2,tree,10,
5756,2007,A,1,tree,25,
5756,2007,,,branch,30,
dim cf,2007,A,1,branch,30,
PA CF,2007,B,7,branch,20,
PA CF,2007,B,8,branch,20,
PA CF,2007,C,7,branch,20,
PA CF,2007,C,8,branch,25,
florestal,2007,A,4,tree,90,
florestal,2007,A,7,tree,20,
florestal,2007,B,4,tree,30,
florestal,2007,B,8,tree,15,
florestal,2007,B,9,tree,20,
florestal,2007,C,9,tree,30,
florestal,2007,A,8,tree,20,
5753,2008,E,7,tree,50,
5753,2008,E,6,tree,90,
5756,2008,B,6,tree,,
CF CF,2009,A,10,tree,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
