plot_id,plant_id,year,treefall_status
FF-6,2668,2002,branch
FF-6,2689,2004,branch
FF-6,2698,2006,branch
FF-6,2742,2006,branch
FF-6,2751,2002,branch
FF-6,2764,2004,branch
FF-6,2773,2006,branch
FF-6,2779,2004,branch
FF-6,2820,2005,branch
FF-6,2822,2002,branch
FF-6,2828,2002,branch
FF-6,2875,2002,branch
FF-6,2875,2006,branch
FF-6,2876,2002,branch
FF-6,2879,2006,branch
FF-6,2883,2006,branch
FF-6,2886,2006,branch
FF-6,2916,2006,branch
FF-6,2937,2004,branch
FF-6,2938,2004,branch
FF-6,2939,2000,branch
FF-6,2959,2005,branch
FF-6,2968,2004,branch
FF-6,2971,2004,branch
FF-6,2971,2005,branch
FF-6,2982,2002,branch
FF-6,2988,2002,branch
FF-6,2990,2002,branch
FF-6,2995,2002,branch
FF-6,3010,2000,branch
FF-6,3014,2002,branch
FF-6,3015,2002,branch
FF-6,3023,2002,branch
FF-6,3023,2004,branch
FF-6,3043,2002,branch
FF-6,3052,2002,branch
FF-6,3057,2006,branch
FF-6,3064,2002,branch
FF-6,3083,2002,branch
FF-6,3100,2002,branch
FF-6,3111,2002,branch
FF-6,3112,2002,branch
FF-6,3114,2004,branch
FF-6,3114,2006,branch
FF-6,3198,2002,branch
FF-6,3201,2004,branch
FF-6,3244,2006,branch
FF-6,3245,2002,branch
FF-6,3258,2006,branch
FF-6,3259,2004,branch
FF-6,3259,2006,branch
FF-6,3262,2005,branch
FF-6,3269,2002,branch
FF-6,3278,2005,branch
FF-6,3289,2006,branch
FF-6,3295,2005,branch
FF-6,3295,2006,branch
FF-6,3303,2002,branch
FF-6,3308,2005,branch
FF-6,3308,2006,branch
FF-6,3323,2002,branch
FF-6,3355,2002,branch
FF-6,3357,2006,branch
FF-6,3372,2002,branch
FF-4,3408,2005,branch
FF-4,3409,2007,branch
FF-4,3416,2006,branch
FF-4,3423,2002,branch
FF-4,3424,2002,branch
FF-4,3426,2006,branch
FF-4,3437,2002,branch
FF-4,3438,2002,branch
FF-4,3449,2002,branch
FF-4,3449,2007,branch
FF-4,3463,2002,branch
FF-4,3471,2002,litter
FF-4,3483,2004,branch
FF-4,3493,1999,branch
FF-4,3494,2003,branch
FF-4,3496,2007,branch
FF-4,3523,2006,branch
FF-4,3536,1999,branch
FF-4,3546,2003,branch
FF-4,3551,2002,branch
FF-4,3552,2003,litter
FF-4,3554,2004,branch
FF-4,3554,2005,branch
FF-4,3569,2007,branch
FF-4,3605,2006,branch
FF-4,3607,2006,branch
FF-4,3609,1999,branch
FF-4,3613,2002,branch
FF-4,3617,2002,branch
FF-4,3627,2006,branch
FF-4,3639,2002,branch
FF-4,3648,2006,branch
FF-4,3655,2005,branch
FF-4,3656,2006,branch
FF-4,3661,2003,litter
FF-4,3668,2002,branch
FF-4,3668,2003,litter
FF-4,3693,2006,branch
FF-4,3700,2006,branch
FF-4,3700,2007,branch
FF-4,3703,2005,branch
FF-4,3704,2005,branch
FF-4,3711,2009,branch
FF-4,3720,2007,branch
FF-4,3749,2008,branch
FF-4,3767,2005,litter
FF-4,3774,2002,branch
FF-4,3794,2002,branch
FF-4,3794,2004,branch
FF-4,3795,2003,branch
FF-4,3796,2004,branch
FF-4,3803,2007,branch
FF-7,3812,2002,branch
FF-7,3839,2002,branch
FF-7,3878,2002,branch
FF-7,3889,2005,branch
FF-7,3927,2002,branch
FF-7,3958,2006,branch
FF-7,3959,2005,branch
FF-7,3960,2004,branch
FF-7,3966,2006,branch
FF-7,3981,2000,branch
FF-7,3982,2002,branch
FF-7,3991,2002,branch
FF-7,3997,2006,branch
FF-7,3999,2002,branch
FF-7,4016,2006,branch
FF-7,4020,2002,branch
FF-7,4020,2005,branch
FF-7,4021,2005,branch
FF-7,4034,2006,branch
FF-7,4047,2004,branch
FF-7,4052,2002,branch
FF-7,4069,2006,branch
FF-7,4110,2002,branch
FF-7,4110,2004,branch
FF-7,4112,2002,branch
FF-7,4113,2002,branch
FF-7,4166,2002,branch
FF-7,4166,2003,branch
FF-7,4169,2002,branch
FF-7,4169,2003,branch
FF-7,4190,2002,branch
FF-7,4201,2002,branch
FF-7,4206,2002,branch
FF-7,4223,2002,branch
FF-7,4232,2005,branch
FF-7,4237,2004,branch
FF-7,4248,2002,branch
FF-7,4252,2004,branch
FF-7,4315,2002,branch
FF-7,4316,2002,branch
FF-7,4318,2002,branch
FF-7,4328,2002,branch
FF-7,4338,2002,branch
FF-7,4358,2004,branch
FF-7,4368,2000,branch
FF-7,4386,2005,branch
FF-7,4387,2005,branch
FF-7,4397,2005,branch
FF-7,4402,2004,branch
FF-7,4405,2005,branch
FF-7,4424,2005,branch
FF-7,4440,2002,branch
FF-7,4441,2002,branch
FF-7,4477,2002,branch
FF-7,4494,2002,branch
FF-7,4505,2002,branch
FF-7,4513,2002,branch
FF-7,4517,2002,branch
FF-7,4518,2002,branch
FF-7,4555,2002,branch
FF-7,4560,2002,branch
FF-7,4566,2002,branch
FF-7,4572,2002,branch
FF-7,4574,2002,branch
FF-7,4581,2002,branch
FF-7,4582,2002,branch
FF-7,4583,2002,branch
FF-7,4600,2002,branch
FF-7,4610,2002,branch
FF-7,4618,2002,branch
FF-7,4622,2006,branch
FF-7,4626,2002,branch
FF-7,4629,2004,branch
FF-7,4635,2005,branch
FF-7,4651,2002,branch
FF-7,4659,2002,branch
FF-7,4662,2002,branch
FF-7,4672,2002,branch
FF-7,4684,2002,branch
FF-7,4756,2006,branch
FF-7,4767,2002,branch
CF-3,4810,2004,branch
CF-3,4837,2006,litter
CF-3,4844,2007,branch
CF-3,4849,2006,tree
CF-3,4851,2005,branch
CF-3,4851,2007,branch
CF-3,4852,2006,branch
CF-3,4853,2006,branch
CF-3,4858,2006,branch
CF-3,4861,2006,branch
CF-3,4866,2004,branch
CF-3,4869,2007,branch
CF-3,4872,2009,branch
CF-3,4874,2006,branch
CF-3,4876,2000,branch
CF-3,4898,2006,branch
CF-3,4908,2002,branch
CF-3,4912,2006,branch
CF-3,4915,2005,branch
CF-3,4920,2003,branch
CF-3,4921,2002,branch
CF-3,4921,2006,branch
CF-3,4922,2002,branch
CF-3,4961,2003,branch
CF-3,4963,2004,branch
CF-3,4964,2009,branch
CF-3,4965,2006,branch
CF-3,4967,2000,branch
CF-3,4971,2006,branch
CF-3,4972,2009,branch
CF-3,4974,2009,branch
CF-3,4978,2002,branch
CF-3,5002,2002,branch
CF-3,5002,2006,branch
CF-3,5003,1999,branch
CF-3,5004,2002,branch
CF-3,5005,1999,branch
CF-3,5008,2004,branch
CF-3,5009,2003,branch
CF-3,5011,2002,branch
CF-3,5017,2005,branch
CF-3,5025,2001,branch
CF-3,5026,2002,branch
CF-3,5028,2002,branch
CF-3,5030,2004,branch
CF-3,5030,2005,branch
CF-3,5038,2002,branch
CF-3,5057,2005,branch
CF-3,5063,2004,branch
CF-3,5063,2006,branch
CF-3,5074,2004,branch
CF-3,5075,2004,branch
CF-3,5077,2004,branch
CF-3,5079,2004,branch
CF-3,5100,2004,branch
CF-3,5100,2005,branch
CF-3,5100,2007,branch
CF-3,5168,2002,branch
CF-3,5201,2006,branch
CF-3,5221,2006,branch
CF-3,5244,2009,branch
CF-3,5273,2009,branch
CF-3,5282,2006,branch
CF-3,5282,2007,branch
CF-3,5287,1999,branch
CF-3,5287,2002,branch
CF-3,5287,2003,branch
CF-3,5289,2009,branch
CF-3,5290,2006,branch
CF-3,5293,2002,branch
CF-3,5293,2005,branch
CF-3,5293,2006,branch
CF-3,5297,2002,branch
CF-3,5300,2002,branch
CF-3,5316,2005,branch
CF-3,5319,2004,branch
CF-3,5322,2004,branch
CF-3,5322,2006,branch
CF-3,5322,2007,branch
CF-3,5325,2007,branch
CF-3,5344,2004,branch
