"plotID","plot","habitat","tag_number","row","column","year","shts","ht","code.notes"
"CF-3","5756","CF","1616","C","9","1998",NA,NA,NA
"CF-3","5756","CF","1616","C","9","1999",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2000",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2001",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2002",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2003",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2004",NA,NA,NA
"CF-3","5756","CF","1616","C","9","2005",NA,NA,"dead not on list (100)"
"CF-3","5756","CF","1616","C","9","2006",NA,NA,"dead (2)"
"CF-3","5756","CF","1616","C","9","2007","4","53",NA
"CF-3","5756","CF","1616","C","9","2008","4","22",NA
"CF-3","5756","CF","1616","C","9","2009","4","30",NA
"","","","","","","","","",""
"FF-2","2108","1-ha","17","A","4","1998",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","1998",NA,NA,NA
"FF-2","2108","1-ha","17","A","4","1999",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","1999","1","11","ULY (3)"
"FF-2","2108","1-ha","17","A","4","2000",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2000","1","14",NA
"FF-2","2108","1-ha","17","A","4","2001",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2001","1","10",NA
"FF-2","2108","1-ha","17","A","4","2002",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2002","2","12",NA
"FF-2","2108","1-ha","17","A","4","2003",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2003","1","10",NA
"FF-2","2108","1-ha","17","A","4","2004",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2004","1","17",NA
"FF-2","2108","1-ha","17","A","4","2005",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2005","3","18",NA
"FF-2","2108","1-ha","17","A","4","2006",NA,NA,NA
"FF-2","2108","1-ha","17","A","7","2006",NA,NA,"dead (2)"
"FF-2","2108","1-ha","17","A","4","2007","1","16",NA
"FF-2","2108","1-ha","17","A","7","2007",NA,NA,NA
"FF-2","2108","1-ha","17","A","4","2008","1","11",NA
"FF-2","2108","1-ha","17","A","7","2008",NA,NA,NA
"FF-2","2108","1-ha","17","A","4","2009","1","13",NA
"FF-2","2108","1-ha","17","A","7","2009",NA,NA,NA
"","","","","","","","","",""
"CF-2","5750","CF","236","G","9","1998",NA,NA,NA
"CF-2","5750","CF","236","H","9","1998","2","22",NA
"CF-2","5750","CF","236","G","9","1999",NA,NA,NA
"CF-2","5750","CF","236","H","9","1999","2","16",NA
"CF-2","5750","CF","236","G","9","2000",NA,NA,NA
"CF-2","5750","CF","236","H","9","2000","1","22",NA
"CF-2","5750","CF","236","G","9","2001",NA,NA,NA
"CF-2","5750","CF","236","H","9","2001","2","24",NA
"CF-2","5750","CF","236","G","9","2002",NA,NA,NA
"CF-2","5750","CF","236","H","9","2002","2","21",NA
"CF-2","5750","CF","236","G","9","2003",NA,NA,NA
"CF-2","5750","CF","236","H","9","2003","2","17",NA
"CF-2","5750","CF","236","G","9","2004",NA,NA,NA
"CF-2","5750","CF","236","H","9","2004","1","19",NA
"CF-2","5750","CF","236","G","9","2005",NA,NA,NA
"CF-2","5750","CF","236","H","9","2005","1","13",NA
"CF-2","5750","CF","236","G","9","2006",NA,NA,NA
"CF-2","5750","CF","236","H","9","2006",NA,NA,"dead (2)"
"CF-2","5750","CF","236","G","9","2007","1","10",NA
"CF-2","5750","CF","236","H","9","2007",NA,NA,NA
"CF-2","5750","CF","236","G","9","2008",NA,NA,NA
"CF-2","5750","CF","236","H","9","2008",NA,NA,NA
"CF-2","5750","CF","236","G","9","2009",NA,NA,NA
"CF-2","5750","CF","236","H","9","2009",NA,NA,NA
"","","","","","","","","",""
"FF-1","2107","1-ha","237","C","8","1998",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","1998",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","1999",NA,NA,NA
"FF-1","2107","1-ha","237","D","6","1999",NA,NA,NA
"FF-1","2107","1-ha","237","C","8","2000","1","6","sdlg (1)"
