"plotID","plot","habitat","HA_ID_Number","tag_number","year","row_col","shts","ht","code.notes"
"FF-7","5754","10-ha","8494","1305","1998","B6","3","59",NA
"FF-7","5754","10-ha","8494","1305","1999","B6","2","40",NA
"FF-7","5754","10-ha","8494","1305","2000","B6","4","54","under treefall (80)"
"FF-7","5754","10-ha","8494","1305","2001","B6",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2002","B6","5","70","under branchfall (90)"
"FF-7","5754","10-ha","8494","1305","2003","B6","2","50",NA
"FF-7","5754","10-ha","8494","1305","2004","B6","1","51",NA
"FF-7","5754","10-ha","8494","1305","2005","B6","2","77",NA
"FF-7","5754","10-ha","8494","1305","2006","B6",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","1998","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","1999","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2000","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2001","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2002","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2003","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2004","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2005","B7",NA,NA,NA
"FF-7","5754","10-ha","8494","1305","2006","B7","2","70",NA
"","","","","","","","","",""
"FF-7","5754","10-ha","8515","1329","1998","C8",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","1999","C8",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2000","C8",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2001","C8",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2002","C8","6","52","no tag (50)"
"FF-7","5754","10-ha","8515","1329","2003","C8","4","58",NA
"FF-7","5754","10-ha","8515","1329","2004","C8","3","66",NA
"FF-7","5754","10-ha","8515","1329","2005","C8","4","98",NA
"FF-7","5754","10-ha","8515","1329","2006","C8",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","1998","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","1999","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2000","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2001","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2002","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2003","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2004","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2005","C9",NA,NA,NA
"FF-7","5754","10-ha","8515","1329","2006","C9","6","70",NA
"","","","","","","","","",""
"FF-7","5754","10-ha","8546","1366","1998","B10",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","1999","B10",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2000","B10",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2001","B10","1","8","sdlg (1)"
"FF-7","5754","10-ha","8546","1366","2002","B10","1","14",NA
"FF-7","5754","10-ha","8546","1366","2003","B10",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2004","B10","1","15",NA
"FF-7","5754","10-ha","8546","1366","2005","B10",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2006","B10",NA,NA,"plant missing (60)"
"FF-7","5754","10-ha","8546","1366","1998","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","1999","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2000","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2001","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2002","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2003","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2004","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2005","B8",NA,NA,NA
"FF-7","5754","10-ha","8546","1366","2006","B8","2","22","not on list (40)"
"","","","","","","","","",""
"FF-7","5754","10-ha","8567","1387","1998","B7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","1999","B7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2000","B7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2001","B7","2","12","sdlg (1)"
"FF-7","5754","10-ha","8567","1387","2002","B7","3","33",NA
"FF-7","5754","10-ha","8567","1387","2003","B7","3","40",NA
"FF-7","5754","10-ha","8567","1387","2004","B7","4","57",NA
"FF-7","5754","10-ha","8567","1387","2005","B7","1","8",NA
"FF-7","5754","10-ha","8567","1387","2006","B7","4","35",NA
"FF-7","5754","10-ha","8567","1387","1998","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","1999","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2000","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2001","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2002","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2003","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2004","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2005","D7",NA,NA,NA
"FF-7","5754","10-ha","8567","1387","2006","D7","2","33","could be one of missing"
"","","","","","","","","",""
"FF-7","5754","10-ha","7924","318","1998","A6","3","19",NA
"FF-7","5754","10-ha","7924","318","1999","A6","2","20",NA
"FF-7","5754","10-ha","7924","318","2000","A6","0","0","under treefall (80)"
"FF-7","5754","10-ha","7924","318","2001","A6","2","20",NA
"FF-7","5754","10-ha","7924","318","2002","A6","5","29",NA
"FF-7","5754","10-ha","7924","318","2003","A6","6","27",NA
"FF-7","5754","10-ha","7924","318","2004","A6","11","42",NA
"FF-7","5754","10-ha","7924","318","2005","A6","19","60",NA
"FF-7","5754","10-ha","7924","318","2006","A6","11","66",NA
"FF-7","5754","10-ha","7924","318","1998","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","1999","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","2000","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","2001","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","2002","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","2003","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","2004","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","2005","D5",NA,NA,NA
"FF-7","5754","10-ha","7924","318","2006","D5","2","24","not on list (40)"
"","","","","","","","","",""
"FF-7","5754","10-ha","7662","46","1998","B4","2","112",NA
